idx,title_raw,text_raw,title,text,content
7507880,"

                    Plants and seeds of corn variety I281779                
","
            According to the invention, there is provided seed and plants of the corn variety designated I281779. The invention thus relates to the plants, seeds and tissue cultures of the variety I281779, and to methods for producing a corn plant produced by crossing a corn plant of variety I281779 with itself or with another corn plant, such as a plant of another variety. The invention further relates to corn seeds and plants produced by crossing plants of variety I281779 with plants of another variety, such as another inbred line. The invention further relates to the inbred and hybrid genetic complements of plants of variety I281779.        ",plants and seeds of corn variety i281779,"according to the invention, there is provided seed and plants of the corn variety designated i281779. the invention thus relates to the plants, seeds and tissue cultures of the variety i281779, and to methods for producing a corn plant produced by crossing a corn plant of variety i281779 with itself or with another corn plant, such as a plant of another variety. the invention further relates to corn seeds and plants produced by crossing plants of variety i281779 with plants of another variety, such as another inbred line. the invention further relates to the inbred and hybrid genetic complements of plants of variety i281779.","plants and seeds of corn variety i281779 according to the invention, there is provided seed and plants of the corn variety designated i281779. the invention thus relates to the plants, seeds and tissue cultures of the variety i281779, and to methods for producing a corn plant produced by crossing a corn plant of variety i281779 with itself or with another corn plant, such as a plant of another variety. the invention further relates to corn seeds and plants produced by crossing plants of variety i281779 with plants of another variety, such as another inbred line. the invention further relates to the inbred and hybrid genetic complements of plants of variety i281779."
7592525,"

                    Plants and seeds of hybrid corn variety CH382226                
","
            According to the invention, there is provided seed and plants of the hybrid corn variety designated CH382226. The invention thus relates to the plants, seeds and tissue cultures of the variety CH382226, and to methods for producing a corn plant produced by crossing a corn plant of variety CH382226 with itself or with another corn plant, such as a plant of another variety. The invention further relates to genetic complements of plants of variety CH382226.        ",plants and seeds of hybrid corn variety ch382226,"according to the invention, there is provided seed and plants of the hybrid corn variety designated ch382226. the invention thus relates to the plants, seeds and tissue cultures of the variety ch382226, and to methods for producing a corn plant produced by crossing a corn plant of variety ch382226 with itself or with another corn plant, such as a plant of another variety. the invention further relates to genetic complements of plants of variety ch382226.","plants and seeds of hybrid corn variety ch382226 according to the invention, there is provided seed and plants of the hybrid corn variety designated ch382226. the invention thus relates to the plants, seeds and tissue cultures of the variety ch382226, and to methods for producing a corn plant produced by crossing a corn plant of variety ch382226 with itself or with another corn plant, such as a plant of another variety. the invention further relates to genetic complements of plants of variety ch382226."
7629515,"

                    Plants and seeds of corn variety LH401RR2                
","
            According to the invention, there is provided seed and plants of the corn variety designated LH401RR2. The invention thus relates to the plants, seeds and tissue cultures of the variety LH401RR2, and to methods for producing a corn plant produced by crossing a corn plant of variety LH401RR2 with itself or with another corn plant, such as a plant of another variety. The invention further relates to corn seeds and plants produced by crossing plants of variety LH401RR2 with plants of another variety, such as another inbred line. The invention further relates to the inbred and hybrid genetic complements of plants of variety LH401RR2.        ",plants and seeds of corn variety lh401rr2,"according to the invention, there is provided seed and plants of the corn variety designated lh401rr2. the invention thus relates to the plants, seeds and tissue cultures of the variety lh401rr2, and to methods for producing a corn plant produced by crossing a corn plant of variety lh401rr2 with itself or with another corn plant, such as a plant of another variety. the invention further relates to corn seeds and plants produced by crossing plants of variety lh401rr2 with plants of another variety, such as another inbred line. the invention further relates to the inbred and hybrid genetic complements of plants of variety lh401rr2.","plants and seeds of corn variety lh401rr2 according to the invention, there is provided seed and plants of the corn variety designated lh401rr2. the invention thus relates to the plants, seeds and tissue cultures of the variety lh401rr2, and to methods for producing a corn plant produced by crossing a corn plant of variety lh401rr2 with itself or with another corn plant, such as a plant of another variety. the invention further relates to corn seeds and plants produced by crossing plants of variety lh401rr2 with plants of another variety, such as another inbred line. the invention further relates to the inbred and hybrid genetic complements of plants of variety lh401rr2."
7807904,"

                    Plants and seeds of hybrid corn variety CH744092                
","
            According to the invention, there is provided seed and plants of the hybrid corn variety designated CH744092. The invention thus relates to the plants, seeds and tissue cultures of the variety CH744092, and to methods for producing a corn plant produced by crossing a corn plant of variety CH744092 with itself or with another corn plant, such as a plant of another variety. The invention further relates to genetic complements of plants of variety CH744092.        ",plants and seeds of hybrid corn variety ch744092,"according to the invention, there is provided seed and plants of the hybrid corn variety designated ch744092. the invention thus relates to the plants, seeds and tissue cultures of the variety ch744092, and to methods for producing a corn plant produced by crossing a corn plant of variety ch744092 with itself or with another corn plant, such as a plant of another variety. the invention further relates to genetic complements of plants of variety ch744092.","plants and seeds of hybrid corn variety ch744092 according to the invention, there is provided seed and plants of the hybrid corn variety designated ch744092. the invention thus relates to the plants, seeds and tissue cultures of the variety ch744092, and to methods for producing a corn plant produced by crossing a corn plant of variety ch744092 with itself or with another corn plant, such as a plant of another variety. the invention further relates to genetic complements of plants of variety ch744092."
7453030,"

                    Plants and seeds of corn variety I106999                
","
            According to the invention, there is provided seed and plants of the corn variety designated I106999. The invention thus relates to the plants, seeds and tissue cultures of the variety I106999, and to methods for producing a corn plant produced by crossing a corn plant of variety I106999 with itself or with another corn plant, such as a plant of another variety. The invention further relates to corn seeds and plants produced by crossing plants of variety I106999 with plants of another variety, such as another inbred line. The invention further relates to the inbred and hybrid genetic complements of plants of variety I106999.        ",plants and seeds of corn variety i106999,"according to the invention, there is provided seed and plants of the corn variety designated i106999. the invention thus relates to the plants, seeds and tissue cultures of the variety i106999, and to methods for producing a corn plant produced by crossing a corn plant of variety i106999 with itself or with another corn plant, such as a plant of another variety. the invention further relates to corn seeds and plants produced by crossing plants of variety i106999 with plants of another variety, such as another inbred line. the invention further relates to the inbred and hybrid genetic complements of plants of variety i106999.","plants and seeds of corn variety i106999 according to the invention, there is provided seed and plants of the corn variety designated i106999. the invention thus relates to the plants, seeds and tissue cultures of the variety i106999, and to methods for producing a corn plant produced by crossing a corn plant of variety i106999 with itself or with another corn plant, such as a plant of another variety. the invention further relates to corn seeds and plants produced by crossing plants of variety i106999 with plants of another variety, such as another inbred line. the invention further relates to the inbred and hybrid genetic complements of plants of variety i106999."
7592521,"

                    Plants and seeds of hybrid corn variety CH890240                
","
            According to the invention, there is provided seed and plants of the hybrid corn variety designated CH890240. The invention thus relates to the plants, seeds and tissue cultures of the variety CH890240, and to methods for producing a corn plant produced by crossing a corn plant of variety CH890240 with itself or with another corn plant, such as a plant of another variety. The invention further relates to genetic complements of plants of variety CH890240.        ",plants and seeds of hybrid corn variety ch890240,"according to the invention, there is provided seed and plants of the hybrid corn variety designated ch890240. the invention thus relates to the plants, seeds and tissue cultures of the variety ch890240, and to methods for producing a corn plant produced by crossing a corn plant of variety ch890240 with itself or with another corn plant, such as a plant of another variety. the invention further relates to genetic complements of plants of variety ch890240.","plants and seeds of hybrid corn variety ch890240 according to the invention, there is provided seed and plants of the hybrid corn variety designated ch890240. the invention thus relates to the plants, seeds and tissue cultures of the variety ch890240, and to methods for producing a corn plant produced by crossing a corn plant of variety ch890240 with itself or with another corn plant, such as a plant of another variety. the invention further relates to genetic complements of plants of variety ch890240."
7217873,"

                    Plants and seeds of corn variety I135168                
","
            According to the invention, there is provided seed and plants of the corn variety designated I135168. The invention thus relates to the plants, seeds and tissue cultures of the variety I135168, and to methods for producing a corn plant produced by crossing a corn plant of variety I135168 with itself or with another corn plant, such as a plant of another variety. The invention further relates to corn seeds and plants produced by crossing plants of variety I135168 with plants of another variety, such as another inbred line. The invention further relates to the inbred and hybrid genetic complements of plants of variety I135168.        ",plants and seeds of corn variety i135168,"according to the invention, there is provided seed and plants of the corn variety designated i135168. the invention thus relates to the plants, seeds and tissue cultures of the variety i135168, and to methods for producing a corn plant produced by crossing a corn plant of variety i135168 with itself or with another corn plant, such as a plant of another variety. the invention further relates to corn seeds and plants produced by crossing plants of variety i135168 with plants of another variety, such as another inbred line. the invention further relates to the inbred and hybrid genetic complements of plants of variety i135168.","plants and seeds of corn variety i135168 according to the invention, there is provided seed and plants of the corn variety designated i135168. the invention thus relates to the plants, seeds and tissue cultures of the variety i135168, and to methods for producing a corn plant produced by crossing a corn plant of variety i135168 with itself or with another corn plant, such as a plant of another variety. the invention further relates to corn seeds and plants produced by crossing plants of variety i135168 with plants of another variety, such as another inbred line. the invention further relates to the inbred and hybrid genetic complements of plants of variety i135168."
7358427,"

                    Plants and seeds of hybrid corn variety CH560027                
","
            According to the invention, there is provided seed and plants of the hybrid corn variety designated CH560027. The invention thus relates to the plants, seeds and tissue cultures of the variety CH560027, and to methods for producing a corn plant produced by crossing a corn plant of variety CH560027 with itself or with another corn plant, such as a plant of another variety. The invention further relates to genetic complements of plants of variety CH560027.        ",plants and seeds of hybrid corn variety ch560027,"according to the invention, there is provided seed and plants of the hybrid corn variety designated ch560027. the invention thus relates to the plants, seeds and tissue cultures of the variety ch560027, and to methods for producing a corn plant produced by crossing a corn plant of variety ch560027 with itself or with another corn plant, such as a plant of another variety. the invention further relates to genetic complements of plants of variety ch560027.","plants and seeds of hybrid corn variety ch560027 according to the invention, there is provided seed and plants of the hybrid corn variety designated ch560027. the invention thus relates to the plants, seeds and tissue cultures of the variety ch560027, and to methods for producing a corn plant produced by crossing a corn plant of variety ch560027 with itself or with another corn plant, such as a plant of another variety. the invention further relates to genetic complements of plants of variety ch560027."
7157628,"

                    Plants and seeds of variety I322683                
","
            According to the invention, there is provided seed and plants of the corn variety designated I322683. This invention thus relates to the plants, seeds and tissue cultures of the variety I322683, and to methods for producing a corn plant produced by crossing a corn plant of variety I322683 with itself or with another corn plant, such as a plant of another variety. This invention further relates to corn seeds and plants produced by crossing plants of variety I322683 with plants of another variety, such as another inbred line, and to crosses with related species. This invention further relates to the inbred and hybrid genetic complements of plants of variety I322683, and also to the SSR profiles of corn variety I322683.        ",plants and seeds of variety i322683,"according to the invention, there is provided seed and plants of the corn variety designated i322683. this invention thus relates to the plants, seeds and tissue cultures of the variety i322683, and to methods for producing a corn plant produced by crossing a corn plant of variety i322683 with itself or with another corn plant, such as a plant of another variety. this invention further relates to corn seeds and plants produced by crossing plants of variety i322683 with plants of another variety, such as another inbred line, and to crosses with related species. this invention further relates to the inbred and hybrid genetic complements of plants of variety i322683, and also to the ssr profiles of corn variety i322683.","plants and seeds of variety i322683 according to the invention, there is provided seed and plants of the corn variety designated i322683. this invention thus relates to the plants, seeds and tissue cultures of the variety i322683, and to methods for producing a corn plant produced by crossing a corn plant of variety i322683 with itself or with another corn plant, such as a plant of another variety. this invention further relates to corn seeds and plants produced by crossing plants of variety i322683 with plants of another variety, such as another inbred line, and to crosses with related species. this invention further relates to the inbred and hybrid genetic complements of plants of variety i322683, and also to the ssr profiles of corn variety i322683."
7511202,"

                    Plants and seeds of corn variety I219358                
","
            According to the invention, there is provided seed and plants of the corn variety designated I219358. The invention thus relates to the plants, seeds and tissue cultures of the variety I219358, and to methods for producing a corn plant produced by crossing a corn plant of variety I219358 with itself or with another corn plant, such as a plant of another variety. The invention further relates to corn seeds and plants produced by crossing plants of variety I219358 with plants of another variety, such as another inbred line. The invention further relates to the inbred and hybrid genetic complements of plants of variety I219358.        ",plants and seeds of corn variety i219358,"according to the invention, there is provided seed and plants of the corn variety designated i219358. the invention thus relates to the plants, seeds and tissue cultures of the variety i219358, and to methods for producing a corn plant produced by crossing a corn plant of variety i219358 with itself or with another corn plant, such as a plant of another variety. the invention further relates to corn seeds and plants produced by crossing plants of variety i219358 with plants of another variety, such as another inbred line. the invention further relates to the inbred and hybrid genetic complements of plants of variety i219358.","plants and seeds of corn variety i219358 according to the invention, there is provided seed and plants of the corn variety designated i219358. the invention thus relates to the plants, seeds and tissue cultures of the variety i219358, and to methods for producing a corn plant produced by crossing a corn plant of variety i219358 with itself or with another corn plant, such as a plant of another variety. the invention further relates to corn seeds and plants produced by crossing plants of variety i219358 with plants of another variety, such as another inbred line. the invention further relates to the inbred and hybrid genetic complements of plants of variety i219358."
7531725,"

                    Plants and seeds of variety I180421                
","
            According to the invention, there is provided seed and plants of the corn variety designated I180421. This invention thus relates to the plants, seeds and tissue cultures of the variety I180421, and to methods for producing a corn plant produced by crossing a corn plant of variety I180421 with itself or with another corn plant, such as a plant of another variety. This invention further relates to corn seeds and plants produced by crossing plants of variety I180421 with plants of another variety, such as another inbred line, and to crosses with related species. This invention further relates to the inbred and hybrid genetic complements of plants of variety I180421, and also to the SSR profiles of corn variety I180421.        ",plants and seeds of variety i180421,"according to the invention, there is provided seed and plants of the corn variety designated i180421. this invention thus relates to the plants, seeds and tissue cultures of the variety i180421, and to methods for producing a corn plant produced by crossing a corn plant of variety i180421 with itself or with another corn plant, such as a plant of another variety. this invention further relates to corn seeds and plants produced by crossing plants of variety i180421 with plants of another variety, such as another inbred line, and to crosses with related species. this invention further relates to the inbred and hybrid genetic complements of plants of variety i180421, and also to the ssr profiles of corn variety i180421.","plants and seeds of variety i180421 according to the invention, there is provided seed and plants of the corn variety designated i180421. this invention thus relates to the plants, seeds and tissue cultures of the variety i180421, and to methods for producing a corn plant produced by crossing a corn plant of variety i180421 with itself or with another corn plant, such as a plant of another variety. this invention further relates to corn seeds and plants produced by crossing plants of variety i180421 with plants of another variety, such as another inbred line, and to crosses with related species. this invention further relates to the inbred and hybrid genetic complements of plants of variety i180421, and also to the ssr profiles of corn variety i180421."
7718859,"

                    Plants and seeds of corn variety CV391950                
","
            According to the invention, there is provided seed and plants of the corn variety designated CV391950. The invention thus relates to the plants, seeds and tissue cultures of the variety CV391950, and to methods for producing a corn plant produced by crossing a corn plant of variety CV391950 with itself or with another corn plant, such as a plant of another variety. The invention further relates to corn seeds and plants produced by crossing plants of variety CV391950 with plants of another variety, such as another inbred line. The invention further relates to the inbred and hybrid genetic complements of plants of variety CV391950.        ",plants and seeds of corn variety cv391950,"according to the invention, there is provided seed and plants of the corn variety designated cv391950. the invention thus relates to the plants, seeds and tissue cultures of the variety cv391950, and to methods for producing a corn plant produced by crossing a corn plant of variety cv391950 with itself or with another corn plant, such as a plant of another variety. the invention further relates to corn seeds and plants produced by crossing plants of variety cv391950 with plants of another variety, such as another inbred line. the invention further relates to the inbred and hybrid genetic complements of plants of variety cv391950.","plants and seeds of corn variety cv391950 according to the invention, there is provided seed and plants of the corn variety designated cv391950. the invention thus relates to the plants, seeds and tissue cultures of the variety cv391950, and to methods for producing a corn plant produced by crossing a corn plant of variety cv391950 with itself or with another corn plant, such as a plant of another variety. the invention further relates to corn seeds and plants produced by crossing plants of variety cv391950 with plants of another variety, such as another inbred line. the invention further relates to the inbred and hybrid genetic complements of plants of variety cv391950."
