,topic,term,feature
103,soybean_acid_composition,soybean,soya_bean
104,soybean_acid_composition,soybean,soya
105,soybean_acid_composition,soybean,soybean_plant
106,soybean_acid_composition,soybean,soja
107,soybean_acid_composition,soybean,soja_bean
108,soybean_acid_composition,soybean,Glycine_max
109,acid_soybean_content,soybean,soy
110,acid_soybean_content,soybean,soybean
111,acid_soybean_content,soybean,soya_bean
112,acid_soybean_content,soybean,soya
113,acid_soybean_content,soybean,soybean_plant
114,acid_soybean_content,soybean,soja
115,acid_soybean_content,soybean,soja_bean
116,acid_soybean_content,soybean,Glycine_max
117,soybean_product_content,product,merchandise
118,soybean_product_content,product,ware
119,soybean_product_content,product,product
120,soybean_product_content,product,production
121,soybean_product_content,product,mathematical_product
122,soybean_product_content,content,content
123,soybean_product_content,content,message
124,soybean_product_content,content,subject_matter
125,soybean_product_content,content,substance
126,image_spatial_acid,content,content
127,image_spatial_acid,content,message
128,image_spatial_acid,content,subject_matter
129,image_spatial_acid,content,substance
130,soybean_acid_composition,content,content
131,soybean_acid_composition,content,message
132,soybean_acid_composition,content,subject_matter
133,soybean_acid_composition,content,substance
134,acid_soybean_content,content,content
135,acid_soybean_content,content,message
136,acid_soybean_content,content,subject_matter
137,acid_soybean_content,content,substance
138,soybean_product_content,high,high
139,solar_estimate_capture,high,high
140,value_area_use,high,high
141,soybean_product_content,determine,determine
142,soybean_product_content,determine,find
143,soybean_product_content,determine,find_out
144,soybean_product_content,determine,ascertain
145,soybean_product_content,determine,shape
146,soybean_product_content,determine,mold
147,soybean_product_content,determine,influence
148,soybean_product_content,determine,regulate
149,soybean_product_content,determine,set
150,value_area_use,determine,determine
151,value_area_use,determine,find
152,value_area_use,determine,find_out
153,value_area_use,determine,ascertain
154,value_area_use,determine,shape
155,value_area_use,determine,mold
156,value_area_use,determine,influence
157,value_area_use,determine,regulate
158,value_area_use,determine,set
159,soybean_product_content,provide,supply
160,soybean_product_content,provide,provide
161,soybean_product_content,provide,render
162,soybean_product_content,provide,furnish
163,soybean_product_content,provide,ply
164,soybean_product_content,provide,cater
165,seed_plant_method,provide,supply
166,seed_plant_method,provide,provide
167,seed_plant_method,provide,render
168,seed_plant_method,provide,furnish
169,seed_plant_method,provide,ply
170,seed_plant_method,provide,cater
171,include_second_first,provide,supply
172,include_second_first,provide,provide
173,include_second_first,provide,render
174,include_second_first,provide,furnish
175,include_second_first,provide,ply
176,include_second_first,provide,cater
177,soybean_product_content,line,line
178,image_spatial_acid,line,line
179,soybean_acid_composition,line,line
180,acid_soybean_content,line,line
181,soybean_product_content,use,use
182,soybean_product_content,use,usage
183,soybean_product_content,use,utilization
184,soybean_product_content,use,utilisation
185,soybean_product_content,use,employment
186,soybean_product_content,use,exercise
187,soybean_product_content,use,function
188,soybean_product_content,use,purpose
189,soybean_product_content,use,role
190,combination_reduce_temperature,use,use
191,combination_reduce_temperature,use,usage
192,combination_reduce_temperature,use,utilization
193,combination_reduce_temperature,use,utilisation
194,combination_reduce_temperature,use,employment
195,combination_reduce_temperature,use,exercise
196,combination_reduce_temperature,use,function
197,combination_reduce_temperature,use,purpose
198,combination_reduce_temperature,use,role
199,method_crop_use,use,use
200,method_crop_use,use,usage
201,method_crop_use,use,utilization
202,method_crop_use,use,utilisation
203,method_crop_use,use,employment
204,method_crop_use,use,exercise
205,method_crop_use,use,function
206,method_crop_use,use,purpose
207,method_crop_use,use,role
208,gene_method_growth,use,use
209,gene_method_growth,use,usage
210,gene_method_growth,use,utilization
211,gene_method_growth,use,utilisation
212,gene_method_growth,use,employment
213,gene_method_growth,use,exercise
214,gene_method_growth,use,function
215,gene_method_growth,use,purpose
216,gene_method_growth,use,role
217,grass_use_effective,use,use
218,grass_use_effective,use,usage
219,grass_use_effective,use,utilization
220,grass_use_effective,use,utilisation
221,grass_use_effective,use,employment
222,grass_use_effective,use,exercise
223,grass_use_effective,use,function
224,grass_use_effective,use,purpose
225,grass_use_effective,use,role
226,value_area_use,use,use
227,value_area_use,use,usage
228,value_area_use,use,utilization
229,value_area_use,use,utilisation
230,value_area_use,use,employment
231,value_area_use,use,exercise
232,value_area_use,use,function
233,value_area_use,use,purpose
234,value_area_use,use,role
235,level_feature_maintain,use,use
236,level_feature_maintain,use,usage
237,level_feature_maintain,use,utilization
238,level_feature_maintain,use,utilisation
239,level_feature_maintain,use,employment
240,level_feature_maintain,use,exercise
241,level_feature_maintain,use,function
242,level_feature_maintain,use,purpose
243,level_feature_maintain,use,role
244,soybean_product_content,acid,acid
245,soybean_product_content,acid,back_breaker
246,soybean_product_content,acid,battery-acid
247,soybean_product_content,acid,dose
248,soybean_product_content,acid,dot
249,soybean_product_content,acid,Elvis
250,soybean_product_content,acid,loony_toons
251,soybean_product_content,acid,Lucy_in_the_sky_with_diamonds
252,soybean_product_content,acid,pane
253,soybean_product_content,acid,superman
254,soybean_product_content,acid,window_pane
255,soybean_product_content,acid,Zen
256,soybean_product_content,acid,acerb
257,soybean_product_content,acid,acerbic
258,soybean_product_content,acid,acrid
259,soybean_product_content,acid,bitter
260,soybean_product_content,acid,blistering
261,soybean_product_content,acid,caustic
262,soybean_product_content,acid,sulfurous
263,soybean_product_content,acid,sulphurous
264,soybean_product_content,acid,virulent
265,soybean_product_content,acid,vitriolic
266,image_spatial_acid,acid,acid
267,image_spatial_acid,acid,back_breaker
268,image_spatial_acid,acid,battery-acid
269,image_spatial_acid,acid,dose
270,image_spatial_acid,acid,dot
271,image_spatial_acid,acid,Elvis
272,image_spatial_acid,acid,loony_toons
273,image_spatial_acid,acid,Lucy_in_the_sky_with_diamonds
274,image_spatial_acid,acid,pane
275,image_spatial_acid,acid,superman
276,image_spatial_acid,acid,window_pane
277,image_spatial_acid,acid,Zen
278,image_spatial_acid,acid,acerb
279,image_spatial_acid,acid,acerbic
280,image_spatial_acid,acid,acrid
281,image_spatial_acid,acid,bitter
282,image_spatial_acid,acid,blistering
283,image_spatial_acid,acid,caustic
284,image_spatial_acid,acid,sulfurous
285,image_spatial_acid,acid,sulphurous
286,image_spatial_acid,acid,virulent
287,image_spatial_acid,acid,vitriolic
288,soybean_acid_composition,acid,acid
289,soybean_acid_composition,acid,back_breaker
290,soybean_acid_composition,acid,battery-acid
291,soybean_acid_composition,acid,dose
292,soybean_acid_composition,acid,dot
293,soybean_acid_composition,acid,Elvis
294,soybean_acid_composition,acid,loony_toons
295,soybean_acid_composition,acid,Lucy_in_the_sky_with_diamonds
296,soybean_acid_composition,acid,pane
297,soybean_acid_composition,acid,superman
298,soybean_acid_composition,acid,window_pane
299,soybean_acid_composition,acid,Zen
300,soybean_acid_composition,acid,acerb
301,soybean_acid_composition,acid,acerbic
302,soybean_acid_composition,acid,acrid
303,soybean_acid_composition,acid,bitter
304,soybean_acid_composition,acid,blistering
305,soybean_acid_composition,acid,caustic
306,soybean_acid_composition,acid,sulfurous
307,soybean_acid_composition,acid,sulphurous
308,soybean_acid_composition,acid,virulent
309,soybean_acid_composition,acid,vitriolic
310,acid_soybean_content,acid,acid
311,acid_soybean_content,acid,back_breaker
312,acid_soybean_content,acid,battery-acid
313,acid_soybean_content,acid,dose
314,acid_soybean_content,acid,dot
315,acid_soybean_content,acid,Elvis
316,acid_soybean_content,acid,loony_toons
317,acid_soybean_content,acid,Lucy_in_the_sky_with_diamonds
318,acid_soybean_content,acid,pane
319,acid_soybean_content,acid,superman
320,acid_soybean_content,acid,window_pane
321,acid_soybean_content,acid,Zen
322,acid_soybean_content,acid,acerb
323,acid_soybean_content,acid,acerbic
324,acid_soybean_content,acid,acrid
325,acid_soybean_content,acid,bitter
326,acid_soybean_content,acid,blistering
327,acid_soybean_content,acid,caustic
328,acid_soybean_content,acid,sulfurous
329,acid_soybean_content,acid,sulphurous
330,acid_soybean_content,acid,virulent
331,acid_soybean_content,acid,vitriolic
332,soybean_product_content,composition,composition
333,soybean_product_content,composition,composing
334,soybean_product_content,composition,constitution
335,soybean_product_content,composition,physical_composition
336,soybean_product_content,composition,makeup
337,soybean_product_content,composition,make-up
338,soybean_acid_composition,composition,composition
339,soybean_acid_composition,composition,composing
340,soybean_acid_composition,composition,constitution
341,soybean_acid_composition,composition,physical_composition
342,soybean_acid_composition,composition,makeup
343,soybean_acid_composition,composition,make-up
344,nitrogen_make_calcium,nitrogen,nitrogen
345,nitrogen_make_calcium,nitrogen,N
346,nitrogen_make_calcium,nitrogen,atomic_number_7
347,nitrogen_make_calcium,make,brand
348,nitrogen_make_calcium,make,make
349,nitrogen_make_calcium,make,shuffle
350,nitrogen_make_calcium,make,shuffling
351,nitrogen_make_calcium,make,do
352,grass_use_effective,make,brand
353,grass_use_effective,make,make
354,grass_use_effective,make,shuffle
355,grass_use_effective,make,shuffling
356,grass_use_effective,make,do
357,nitrogen_make_calcium,calcium,calcium
358,nitrogen_make_calcium,calcium,Ca
359,nitrogen_make_calcium,calcium,atomic_number_20
360,nitrogen_make_calcium,comprise,consist
361,nitrogen_make_calcium,comprise,comprise
362,nitrogen_make_calcium,comprise,incorporate
363,nitrogen_make_calcium,comprise,contain
364,nitrogen_make_calcium,comprise,constitute
365,nitrogen_make_calcium,comprise,represent
366,nitrogen_make_calcium,comprise,make_up
367,nitrogen_make_calcium,comprise,be
368,method_crop_use,comprise,consist
369,method_crop_use,comprise,comprise
370,method_crop_use,comprise,incorporate
371,method_crop_use,comprise,contain
372,method_crop_use,comprise,constitute
373,method_crop_use,comprise,represent
374,method_crop_use,comprise,make_up
375,method_crop_use,comprise,be
376,gene_method_growth,comprise,consist
377,gene_method_growth,comprise,comprise
378,gene_method_growth,comprise,incorporate
379,gene_method_growth,comprise,contain
380,gene_method_growth,comprise,constitute
381,gene_method_growth,comprise,represent
382,gene_method_growth,comprise,make_up
383,gene_method_growth,comprise,be
384,say_modify_comprise,comprise,consist
385,say_modify_comprise,comprise,comprise
386,say_modify_comprise,comprise,incorporate
387,say_modify_comprise,comprise,contain
388,say_modify_comprise,comprise,constitute
389,say_modify_comprise,comprise,represent
390,say_modify_comprise,comprise,make_up
391,say_modify_comprise,comprise,be
392,nitrogen_make_calcium,medium,medium
393,gene_method_growth,medium,medium
394,nitrogen_make_calcium,moisture,moisture
395,nitrogen_make_calcium,moisture,wet
396,nitrogen_make_calcium,disperse,scatter
397,nitrogen_make_calcium,disperse,sprinkle
398,nitrogen_make_calcium,disperse,dot
399,nitrogen_make_calcium,disperse,dust
400,nitrogen_make_calcium,disperse,disperse
401,nitrogen_make_calcium,disperse,dissipate
402,nitrogen_make_calcium,disperse,dispel
403,nitrogen_make_calcium,disperse,break_up
404,nitrogen_make_calcium,micronutrient,micronutrient
405,combination_reduce_temperature,combination,combination
406,combination_reduce_temperature,reduce,reduce
407,combination_reduce_temperature,reduce,cut_down
408,combination_reduce_temperature,reduce,cut_back
409,combination_reduce_temperature,reduce,trim
410,combination_reduce_temperature,reduce,trim_down
411,combination_reduce_temperature,reduce,trim_back
412,combination_reduce_temperature,reduce,cut
413,combination_reduce_temperature,reduce,bring_down
414,grass_use_effective,reduce,reduce
415,grass_use_effective,reduce,cut_down
416,grass_use_effective,reduce,cut_back
417,grass_use_effective,reduce,trim
418,grass_use_effective,reduce,trim_down
419,grass_use_effective,reduce,trim_back
420,grass_use_effective,reduce,cut
421,grass_use_effective,reduce,bring_down
422,combination_reduce_temperature,temperature,temperature
423,combination_reduce_temperature,production,production
424,combination_reduce_temperature,production,product
425,plurality_equipment_datum,production,production
426,plurality_equipment_datum,production,product
427,say_modify_comprise,production,production
428,say_modify_comprise,production,product
429,combination_reduce_temperature,link,link
430,combination_reduce_temperature,link,nexus
431,combination_reduce_temperature,link,linkup
432,combination_reduce_temperature,link,tie
433,combination_reduce_temperature,link,tie-in
434,combination_reduce_temperature,link,connection
435,combination_reduce_temperature,link,connectedness
436,combination_reduce_temperature,crop,crop
437,combination_reduce_temperature,crop,harvest
438,method_crop_use,crop,crop
439,method_crop_use,crop,harvest
440,seed_plant_method,crop,crop
441,seed_plant_method,crop,harvest
442,combination_reduce_temperature,increase,addition
443,combination_reduce_temperature,increase,increase
444,combination_reduce_temperature,increase,gain
445,combination_reduce_temperature,increase,increment
446,combination_reduce_temperature,increase,growth
447,seed_plant_method,increase,addition
448,seed_plant_method,increase,increase
449,seed_plant_method,increase,gain
450,seed_plant_method,increase,increment
451,seed_plant_method,increase,growth
452,combination_reduce_temperature,yield,output
453,combination_reduce_temperature,yield,yield
454,combination_reduce_temperature,yield,return
455,combination_reduce_temperature,yield,issue
456,combination_reduce_temperature,yield,take
457,combination_reduce_temperature,yield,takings
458,combination_reduce_temperature,yield,proceeds
459,combination_reduce_temperature,yield,payoff
460,combination_reduce_temperature,yield,fruit
461,seed_plant_method,yield,output
462,seed_plant_method,yield,yield
463,seed_plant_method,yield,return
464,seed_plant_method,yield,issue
465,seed_plant_method,yield,take
466,seed_plant_method,yield,takings
467,seed_plant_method,yield,proceeds
468,seed_plant_method,yield,payoff
469,seed_plant_method,yield,fruit
470,combination_reduce_temperature,mean,mean
471,combination_reduce_temperature,mean,mean_value
472,combination_reduce_temperature,mean,intend
473,combination_reduce_temperature,mean,entail
474,combination_reduce_temperature,mean,imply
475,plant_corn_invention,corn,corn
476,plant_corn_invention,corn,maize
477,plant_corn_invention,corn,Indian_corn
478,plant_corn_invention,corn,Zea_mays
479,plant_corn_invention,corn,edible_corn
480,plant_corn_invention,invention,invention
481,plant_corn_invention,invention,innovation
482,plant_corn_invention,invention,excogitation
483,plant_corn_invention,invention,conception
484,plant_corn_invention,invention,design
485,plant_corn_invention,variety,assortment
486,plant_corn_invention,variety,mixture
487,plant_corn_invention,variety,mixed_bag
488,plant_corn_invention,variety,miscellany
489,plant_corn_invention,variety,miscellanea
490,plant_corn_invention,variety,variety
491,plant_corn_invention,variety,salmagundi
492,plant_corn_invention,variety,smorgasbord
493,plant_corn_invention,variety,potpourri
494,plant_corn_invention,variety,motley
495,plant_corn_invention,variety,diverseness
496,plant_corn_invention,variety,diversity
497,plant_corn_invention,variety,multifariousness
498,plant_corn_invention,seed,seed
499,plant_corn_invention,seed,seeded_player
500,seed_plant_method,seed,seed
501,seed_plant_method,seed,seeded_player
502,plant_corn_invention,produce,produce
503,plant_corn_invention,produce,green_goods
504,plant_corn_invention,produce,green_groceries
505,plant_corn_invention,produce,garden_truck
506,plant_corn_invention,produce,bring_forth
507,plant_corn_invention,produce,make
508,plant_corn_invention,produce,create
509,plant_corn_invention,relate,associate
510,plant_corn_invention,relate,tie_in
511,plant_corn_invention,relate,relate
512,plant_corn_invention,relate,link
513,plant_corn_invention,relate,colligate
514,plant_corn_invention,relate,link_up
515,plant_corn_invention,relate,connect
516,plant_corn_invention,relate,refer
517,plant_corn_invention,relate,pertain
518,plant_corn_invention,relate,concern
519,plant_corn_invention,relate,come_to
520,plant_corn_invention,relate,bear_on
521,plant_corn_invention,relate,touch
522,plant_corn_invention,relate,touch_on
523,plant_corn_invention,relate,have-to_doe_with
524,plant_corn_invention,hybrid,loanblend
525,plant_corn_invention,hybrid,loan-blend
526,plant_corn_invention,hybrid,hybrid
527,plant_corn_invention,hybrid,crossbreed
528,plant_corn_invention,hybrid,cross
529,plant_corn_invention,method,method
530,plant_corn_invention,method,method_acting
531,method_crop_use,method,method
532,method_crop_use,method,method_acting
533,image_spatial_acid,method,method
534,image_spatial_acid,method,method_acting
535,soybean_acid_composition,method,method
536,soybean_acid_composition,method,method_acting
537,gene_method_growth,method,method
538,gene_method_growth,method,method_acting
539,seed_plant_method,method,method
540,seed_plant_method,method,method_acting
541,base_information_back,method,method
542,base_information_back,method,method_acting
543,acid_soybean_content,method,method
544,acid_soybean_content,method,method_acting
545,say_modify_comprise,method,method
546,say_modify_comprise,method,method_acting
547,include_second_first,method,method
548,include_second_first,method,method_acting
549,method_crop_use,material,material
550,method_crop_use,material,stuff
551,method_crop_use,material,fabric
552,method_crop_use,material,cloth
553,method_crop_use,material,textile
554,method_crop_use,present,present
555,method_crop_use,present,nowadays
556,method_crop_use,present,present_tense
557,gene_method_growth,present,present
558,gene_method_growth,present,nowadays
559,gene_method_growth,present,present_tense
560,grass_use_effective,present,present
561,grass_use_effective,present,nowadays
562,grass_use_effective,present,present_tense
563,say_modify_comprise,present,present
564,say_modify_comprise,present,nowadays
565,say_modify_comprise,present,present_tense
566,method_crop_use,express,express
567,method_crop_use,express,express_mail
568,method_crop_use,express,limited
569,method_crop_use,express,expressage
570,method_crop_use,system,system
571,method_crop_use,system,scheme
572,plurality_equipment_datum,system,system
573,plurality_equipment_datum,system,scheme
574,level_feature_maintain,system,system
575,level_feature_maintain,system,scheme
576,method_crop_use,harvest,crop
577,method_crop_use,harvest,harvest
578,method_crop_use,harvest,harvesting
579,method_crop_use,harvest,harvest_home
580,method_crop_use,process,procedure
581,method_crop_use,process,process
582,method_crop_use,process,cognitive_process
583,method_crop_use,process,mental_process
584,method_crop_use,process,operation
585,method_crop_use,process,cognitive_operation
586,method_crop_use,process,summons
587,least_time_control,process,procedure
588,least_time_control,process,process
589,least_time_control,process,cognitive_process
590,least_time_control,process,mental_process
591,least_time_control,process,operation
592,least_time_control,process,cognitive_operation
593,least_time_control,process,summons
594,image_spatial_acid,image,image
595,image_spatial_acid,image,mental_image
596,image_spatial_acid,image,persona
597,image_spatial_acid,image,picture
598,image_spatial_acid,image,icon
599,image_spatial_acid,image,ikon
600,image_spatial_acid,spatial,spatial
601,image_spatial_acid,spatial,spacial
602,image_spatial_acid,structure,structure
603,image_spatial_acid,structure,construction
604,image_spatial_acid,less,lupus_erythematosus
605,image_spatial_acid,less,LE
606,image_spatial_acid,less,less
607,soybean_acid_composition,less,lupus_erythematosus
608,soybean_acid_composition,less,LE
609,soybean_acid_composition,less,less
610,acid_soybean_content,less,lupus_erythematosus
611,acid_soybean_content,less,LE
612,acid_soybean_content,less,less
613,least_time_control,least,least
614,least_time_control,least,to_the_lowest_degree
615,least_time_control,time,time
616,least_time_control,time,clip
617,least_time_control,control,control
618,least_time_control,processor,processor
619,least_time_control,processor,central_processing_unit
620,least_time_control,processor,CPU
621,least_time_control,processor,C.P.U.
622,least_time_control,processor,central_processor
623,least_time_control,processor,mainframe
624,least_time_control,include,include
625,include_second_first,include,include
626,least_time_control,support,support
627,least_time_control,station,station
628,least_time_control,station,place
629,least_time_control,store,shop
630,least_time_control,store,store
631,least_time_control,store,stock
632,least_time_control,store,fund
633,least_time_control,store,memory
634,least_time_control,store,computer_memory
635,least_time_control,store,storage
636,least_time_control,store,computer_storage
637,least_time_control,store,memory_board
638,least_time_control,accumulate,roll_up
639,least_time_control,accumulate,collect
640,least_time_control,accumulate,accumulate
641,least_time_control,accumulate,pile_up
642,least_time_control,accumulate,amass
643,least_time_control,accumulate,compile
644,least_time_control,accumulate,hoard
645,least_time_control,accumulate,cumulate
646,least_time_control,accumulate,conglomerate
647,least_time_control,accumulate,gather
648,soybean_acid_composition,disclose,unwrap
649,soybean_acid_composition,disclose,disclose
650,soybean_acid_composition,disclose,let_on
651,soybean_acid_composition,disclose,bring_out
652,soybean_acid_composition,disclose,reveal
653,soybean_acid_composition,disclose,discover
654,soybean_acid_composition,disclose,expose
655,soybean_acid_composition,disclose,divulge
656,soybean_acid_composition,disclose,break
657,soybean_acid_composition,disclose,give_away
658,soybean_acid_composition,disclose,let_out
659,soybean_acid_composition,also,besides
660,soybean_acid_composition,also,too
661,soybean_acid_composition,also,also
662,soybean_acid_composition,also,likewise
663,soybean_acid_composition,also,as_well
664,soybean_acid_composition,progeny,offspring
665,soybean_acid_composition,progeny,progeny
666,soybean_acid_composition,progeny,issue
667,gene_method_growth,gene,gene
668,gene_method_growth,gene,cistron
669,gene_method_growth,gene,factor
670,say_modify_comprise,gene,gene
671,say_modify_comprise,gene,cistron
672,say_modify_comprise,gene,factor
673,gene_method_growth,growth,growth
674,gene_method_growth,growth,growing
675,gene_method_growth,growth,maturation
676,gene_method_growth,growth,development
677,gene_method_growth,growth,ontogeny
678,gene_method_growth,growth,ontogenesis
679,gene_method_growth,growth,increase
680,gene_method_growth,growth,increment
681,gene_method_growth,amount,sum
682,gene_method_growth,amount,sum_of_money
683,gene_method_growth,amount,amount
684,gene_method_growth,amount,amount_of_money
685,gene_method_growth,amount,measure
686,gene_method_growth,amount,quantity
687,gene_method_growth,range,scope
688,gene_method_growth,range,range
689,gene_method_growth,range,reach
690,gene_method_growth,range,orbit
691,gene_method_growth,range,compass
692,gene_method_growth,range,ambit
693,level_feature_maintain,range,scope
694,level_feature_maintain,range,range
695,level_feature_maintain,range,reach
696,level_feature_maintain,range,orbit
697,level_feature_maintain,range,compass
698,level_feature_maintain,range,ambit
699,gene_method_growth,microorganism,microorganism
700,gene_method_growth,microorganism,micro-organism
701,solar_estimate_capture,solar,solar
702,solar_estimate_capture,estimate,estimate
703,solar_estimate_capture,estimate,estimation
704,solar_estimate_capture,estimate,approximation
705,solar_estimate_capture,estimate,idea
706,solar_estimate_capture,estimate,appraisal
707,solar_estimate_capture,capture,capture
708,solar_estimate_capture,capture,gaining_control
709,solar_estimate_capture,capture,seizure
710,solar_estimate_capture,energy,energy
711,solar_estimate_capture,energy,free_energy
712,solar_estimate_capture,energy,vigor
713,solar_estimate_capture,energy,vigour
714,solar_estimate_capture,energy,zip
715,solar_estimate_capture,energy,push
716,solar_estimate_capture,energy,get-up-and-go
717,solar_estimate_capture,weather,weather
718,solar_estimate_capture,weather,weather_condition
719,solar_estimate_capture,weather,conditions
720,solar_estimate_capture,weather,atmospheric_condition
721,solar_estimate_capture,weather,endure
722,solar_estimate_capture,weather,brave
723,solar_estimate_capture,weather,brave_out
724,solar_estimate_capture,satellite,satellite
725,solar_estimate_capture,satellite,artificial_satellite
726,solar_estimate_capture,satellite,orbiter
727,solar_estimate_capture,satellite,planet
728,solar_estimate_capture,model,model
729,solar_estimate_capture,model,theoretical_account
730,solar_estimate_capture,model,framework
731,solar_estimate_capture,model,poser
732,solar_estimate_capture,location,location
733,solar_estimate_capture,location,placement
734,solar_estimate_capture,location,locating
735,solar_estimate_capture,location,position
736,solar_estimate_capture,location,positioning
737,solar_estimate_capture,location,emplacement
738,solar_estimate_capture,location,localization
739,solar_estimate_capture,location,localisation
740,solar_estimate_capture,location,fix
741,solar_estimate_capture,limited,express
742,solar_estimate_capture,limited,limited
743,solar_estimate_capture,limited,restrict
744,solar_estimate_capture,limited,restrain
745,solar_estimate_capture,limited,trammel
746,solar_estimate_capture,limited,limit
747,solar_estimate_capture,limited,bound
748,solar_estimate_capture,limited,confine
749,solar_estimate_capture,limited,throttle
750,solar_estimate_capture,limited,circumscribe
751,plurality_equipment_datum,plurality,plurality
752,plurality_equipment_datum,plurality,battalion
753,plurality_equipment_datum,plurality,large_number
754,plurality_equipment_datum,plurality,multitude
755,plurality_equipment_datum,plurality,pack
756,plurality_equipment_datum,plurality,relative_majority
757,plurality_equipment_datum,equipment,equipment
758,plurality_equipment_datum,datum,datum
759,plurality_equipment_datum,datum,data_point
760,value_area_use,datum,datum
761,value_area_use,datum,data_point
762,plurality_equipment_datum,field,field
763,plurality_equipment_datum,field,battlefield
764,plurality_equipment_datum,field,battleground
765,plurality_equipment_datum,field,field_of_battle
766,plurality_equipment_datum,field,field_of_honor
767,value_area_use,field,field
768,value_area_use,field,battlefield
769,value_area_use,field,battleground
770,value_area_use,field,field_of_battle
771,value_area_use,field,field_of_honor
772,plurality_equipment_datum,component,component
773,plurality_equipment_datum,component,constituent
774,plurality_equipment_datum,component,element
775,plurality_equipment_datum,component,factor
776,plurality_equipment_datum,component,ingredient
777,plurality_equipment_datum,component,part
778,plurality_equipment_datum,component,portion
779,plurality_equipment_datum,component,component_part
780,plurality_equipment_datum,agricultural,agricultural
781,plurality_equipment_datum,agricultural,agrarian
782,plurality_equipment_datum,agricultural,farming
783,plurality_equipment_datum,impact,impact
784,plurality_equipment_datum,impact,wallop
785,plurality_equipment_datum,impact,impingement
786,plurality_equipment_datum,impact,encroachment
787,plurality_equipment_datum,receive,receive
788,plurality_equipment_datum,receive,have
789,plurality_equipment_datum,receive,get
790,plurality_equipment_datum,receive,find
791,plurality_equipment_datum,receive,obtain
792,plurality_equipment_datum,receive,incur
