,idx,title_raw,text_raw,title,text,content,_topic_
10,6576035,"

                    Stabilized enhanced efficiency controllable release calcium cyanamide compositions                
","
            Calcium cyanamide compositions and methods for their use are disclosed. The compositions and methods stabilize active ionic compositions comprising calcium cyanamide and enhance the effectiveness of calcium cyanamide alone or synergistically in combination with nitrogen containing materials such as urea and organics, for example, manures. The compositions and methods also facilitate controllable site directed delivery of the contents of the stabilized compositions. The compositions and methods are effective for fertilizing, soil amending, metal stabilizing and odor and organism inhibition. The compositions are stable, easily calibrated, and non-clogging for spray delivery to target sites.        ",stabilized enhanced efficiency controllable release calcium cyanamide compositions,"calcium cyanamide compositions and methods for their use are disclosed. the compositions and methods stabilize active ionic compositions comprising calcium cyanamide and enhance the effectiveness of calcium cyanamide alone or synergistically in combination with nitrogen containing materials such as urea and organics, for example, manures. the compositions and methods also facilitate controllable site directed delivery of the contents of the stabilized compositions. the compositions and methods are effective for fertilizing, soil amending, metal stabilizing and odor and organism inhibition. the compositions are stable, easily calibrated, and non-clogging for spray delivery to target sites.","stabilized enhanced efficiency controllable release calcium cyanamide compositions calcium cyanamide compositions and methods for their use are disclosed. the compositions and methods stabilize active ionic compositions comprising calcium cyanamide and enhance the effectiveness of calcium cyanamide alone or synergistically in combination with nitrogen containing materials such as urea and organics, for example, manures. the compositions and methods also facilitate controllable site directed delivery of the contents of the stabilized compositions. the compositions and methods are effective for fertilizing, soil amending, metal stabilizing and odor and organism inhibition. the compositions are stable, easily calibrated, and non-clogging for spray delivery to target sites.",
11,5157207,"

                    Modified plant containing a bacterial insculant                
","
            A method for the production of a plant of reduced stature is provided comprising the introduction of a bacterial cell into a seed or a plant, the bacterial cell being capable of replicating in the plant and of inducing a reduction in plant stature. A seed and a plant modified by introduction of such a bacterial cell are also provided.        ",modified plant containing a bacterial insculant,"a method for the production of a plant of reduced stature is provided comprising the introduction of a bacterial cell into a seed or a plant, the bacterial cell being capable of replicating in the plant and of inducing a reduction in plant stature. a seed and a plant modified by introduction of such a bacterial cell are also provided.","modified plant containing a bacterial insculant a method for the production of a plant of reduced stature is provided comprising the introduction of a bacterial cell into a seed or a plant, the bacterial cell being capable of replicating in the plant and of inducing a reduction in plant stature. a seed and a plant modified by introduction of such a bacterial cell are also provided.",
12,6300282,"

                    Technique for reducing nitrogen leaching in soils and improving potato crop yield by application of surfactants to crop root zone                
","
            A preferred technique for increasing potato crop yields and/or minimizing nitrate leaching of potato crop acreage involves the application of surfactant at planting to the soil adjacent a seed potato. In an alternative method of the present invention, surfactant is applied after planting to the top or shoulder of the hill in which a potato plant is growing. The improved potato crop yields of the present invention are believed to result of the maintenance of soil moisture levels near the potato plant root zone and/or the prevention of nitrogen and other nutrient-leaching from the potato plant root zone.        ",technique for reducing nitrogen leaching in soils and improving potato crop yield by application of surfactants to crop root zone,"a preferred technique for increasing potato crop yields and/or minimizing nitrate leaching of potato crop acreage involves the application of surfactant at planting to the soil adjacent a seed potato. in an alternative method of the present invention, surfactant is applied after planting to the top or shoulder of the hill in which a potato plant is growing. the improved potato crop yields of the present invention are believed to result of the maintenance of soil moisture levels near the potato plant root zone and/or the prevention of nitrogen and other nutrient-leaching from the potato plant root zone.","technique for reducing nitrogen leaching in soils and improving potato crop yield by application of surfactants to crop root zone a preferred technique for increasing potato crop yields and/or minimizing nitrate leaching of potato crop acreage involves the application of surfactant at planting to the soil adjacent a seed potato. in an alternative method of the present invention, surfactant is applied after planting to the top or shoulder of the hill in which a potato plant is growing. the improved potato crop yields of the present invention are believed to result of the maintenance of soil moisture levels near the potato plant root zone and/or the prevention of nitrogen and other nutrient-leaching from the potato plant root zone.",
13,8198511,"

                    Maize having improved digestibility                
","
            The Invention relates to maize having a reduced level of CAD2 activity due to the presence of the delta-314 allele, and to the use thereof for silage.         ",maize having improved digestibility,"the invention relates to maize having a reduced level of cad2 activity due to the presence of the delta-314 allele, and to the use thereof for silage.","maize having improved digestibility the invention relates to maize having a reduced level of cad2 activity due to the presence of the delta-314 allele, and to the use thereof for silage.",
14,9439385,"

                    Alfalfa plants having improved fast recovery after harvest and methods for producing same                
","
            The invention provides alfalfa plants having improved standability and/or fast recovery after spring green-up or after harvest and methods for producing such plants. Such alfalfa plants provide increased annual yield of high quality forage.         ",alfalfa plants having improved fast recovery after harvest and methods for producing same,the invention provides alfalfa plants having improved standability and/or fast recovery after spring green-up or after harvest and methods for producing such plants. such alfalfa plants provide increased annual yield of high quality forage.,alfalfa plants having improved fast recovery after harvest and methods for producing same the invention provides alfalfa plants having improved standability and/or fast recovery after spring green-up or after harvest and methods for producing such plants. such alfalfa plants provide increased annual yield of high quality forage.,
15,4069614,"

                    Early growth alteration to increase corn grain yield                
","
            Corn grain yield can be increased without affecting grain quality by alteration of early plant growth. One particularly preferred technique of early plant growth alteration involves reducing the effective leaf area of a short-season hybrid growing in a full-season maturity zone. With optimization of early plant growth alteration of an appropriate hybrid in an appropriate maturity zone, corn grain yield increases in excess of 30% and even in excess of 75% can be otained.        ",early growth alteration to increase corn grain yield,"corn grain yield can be increased without affecting grain quality by alteration of early plant growth. one particularly preferred technique of early plant growth alteration involves reducing the effective leaf area of a short-season hybrid growing in a full-season maturity zone. with optimization of early plant growth alteration of an appropriate hybrid in an appropriate maturity zone, corn grain yield increases in excess of 30% and even in excess of 75% can be otained.","early growth alteration to increase corn grain yield corn grain yield can be increased without affecting grain quality by alteration of early plant growth. one particularly preferred technique of early plant growth alteration involves reducing the effective leaf area of a short-season hybrid growing in a full-season maturity zone. with optimization of early plant growth alteration of an appropriate hybrid in an appropriate maturity zone, corn grain yield increases in excess of 30% and even in excess of 75% can be otained.",
16,5436386,"

                    Hybrid safflower production utilizing genetic dwarf male sterility                
","
            The invention is directed to the identification of a safflower gene that exhibits male sterility in combination with a morphologically identifiable dwarfism in the male sterile plant and to the production of hybrid safflower that uses this safflower gene.        ",hybrid safflower production utilizing genetic dwarf male sterility,the invention is directed to the identification of a safflower gene that exhibits male sterility in combination with a morphologically identifiable dwarfism in the male sterile plant and to the production of hybrid safflower that uses this safflower gene.,hybrid safflower production utilizing genetic dwarf male sterility the invention is directed to the identification of a safflower gene that exhibits male sterility in combination with a morphologically identifiable dwarfism in the male sterile plant and to the production of hybrid safflower that uses this safflower gene.,
17,5706603,"

                    Production method for corn with enhanced quality grain traits                
","
            A novel method of producing corn grain with enhanced quality traits including high oil content has been developed. Through pollination of male-sterile hybrid corn plants by nonisogenic corn plants possessing genes which control the expression of enhanced quality grain traits, grain is obtained possessing such traits much higher than would be expected for self- or cross-pollination. This method can be practiced by farmers using currently accepted farming practices to directly obtain high yields of high-oil corn grain, high-protein corn grain, and other valuable grain for animal feed and other products.        ",production method for corn with enhanced quality grain traits,"a novel method of producing corn grain with enhanced quality traits including high oil content has been developed. through pollination of male-sterile hybrid corn plants by nonisogenic corn plants possessing genes which control the expression of enhanced quality grain traits, grain is obtained possessing such traits much higher than would be expected for self- or cross-pollination. this method can be practiced by farmers using currently accepted farming practices to directly obtain high yields of high-oil corn grain, high-protein corn grain, and other valuable grain for animal feed and other products.","production method for corn with enhanced quality grain traits a novel method of producing corn grain with enhanced quality traits including high oil content has been developed. through pollination of male-sterile hybrid corn plants by nonisogenic corn plants possessing genes which control the expression of enhanced quality grain traits, grain is obtained possessing such traits much higher than would be expected for self- or cross-pollination. this method can be practiced by farmers using currently accepted farming practices to directly obtain high yields of high-oil corn grain, high-protein corn grain, and other valuable grain for animal feed and other products.",
18,5710365,"

                    Soybean products with improved carbohydrate composition and soybean plants                
","
            There is provided soybean protein products of significantly lowerstachyose content as a function of an improved soybean having a seed stachyose content of less than 50 μmol/g. Improved soybean lines are provided as are methods of using such reduced stachyose soybeans.        ",soybean products with improved carbohydrate composition and soybean plants,there is provided soybean protein products of significantly lowerstachyose content as a function of an improved soybean having a seed stachyose content of less than 50 μmol/g. improved soybean lines are provided as are methods of using such reduced stachyose soybeans.,soybean products with improved carbohydrate composition and soybean plants there is provided soybean protein products of significantly lowerstachyose content as a function of an improved soybean having a seed stachyose content of less than 50 μmol/g. improved soybean lines are provided as are methods of using such reduced stachyose soybeans.,
19,4999945,"

                    Route to hybrid rice production                
","
            An improved procedure for forming F1 hybrid Oryza sativa plants (i.e., hybrid rice plants of the first filial generation) is provided which is capable of being economically implemented on a commercial scale. Plants of the seed and pollen parents each possess a combination of characteristics (as described) which readily facilitate cross-pollination in the absence of the use of labor intensive procedures such as the clippings of flag leaves. The seeds formed on each parent are recovered in bulk and are separated on the basis of a genetic marker. The hybrid rice plants of the F1 generation unlike those of the seed parent possess long flag leaves which extend upwardly to a greater maximum height than the tips of the panicles whereby photosynthesis can be accomplished on an efficient basis.        ",route to hybrid rice production,"an improved procedure for forming f1 hybrid oryza sativa plants (i.e., hybrid rice plants of the first filial generation) is provided which is capable of being economically implemented on a commercial scale. plants of the seed and pollen parents each possess a combination of characteristics (as described) which readily facilitate cross-pollination in the absence of the use of labor intensive procedures such as the clippings of flag leaves. the seeds formed on each parent are recovered in bulk and are separated on the basis of a genetic marker. the hybrid rice plants of the f1 generation unlike those of the seed parent possess long flag leaves which extend upwardly to a greater maximum height than the tips of the panicles whereby photosynthesis can be accomplished on an efficient basis.","route to hybrid rice production an improved procedure for forming f1 hybrid oryza sativa plants (i.e., hybrid rice plants of the first filial generation) is provided which is capable of being economically implemented on a commercial scale. plants of the seed and pollen parents each possess a combination of characteristics (as described) which readily facilitate cross-pollination in the absence of the use of labor intensive procedures such as the clippings of flag leaves. the seeds formed on each parent are recovered in bulk and are separated on the basis of a genetic marker. the hybrid rice plants of the f1 generation unlike those of the seed parent possess long flag leaves which extend upwardly to a greater maximum height than the tips of the panicles whereby photosynthesis can be accomplished on an efficient basis.",
20,5038518,"

                    Process for the economical production of seeds capable of growing F1 hybrid cotton                
","
            An improved overall process is provided which makes possible the reliable production of seeds capable of growing F1 hybrid cotton plants on an economically advantageous basis. A cotton planting area is selected which is suitable for habitation by ground-dwelling wild bees. The population of ground-dwelling wild bees is encouraged through the non-use of an insecticide of at least one growing season. During an immediately following growing season a portion of the planting area is planted with a block of early-blossoming plants which provide a source of pollen and nectar for the ground-dwelling wild bees during the spring and early summer. Another nearby section of the planting area during the immediately following growing season is planted with a substantially random population of cytoplasmically male sterile cotton plants and male fertile cotton plants which are capable of restoring male fertility to the progeny of the cytoplasmically male sterile plants. No insecticide is applied to the cotton plants at least unit after seed set has occurred. Pollination of the cotton plants is accomplished during mid- to late-summer through pollen transfer by the ground-dwelling bees and cottonseeds are formed. The resulting cottonseeds next are harvested in bulk and include a substantial concentration of seeds capable of forming F1 hybrid cotton plants.        ",process for the economical production of seeds capable of growing f1 hybrid cotton,an improved overall process is provided which makes possible the reliable production of seeds capable of growing f1 hybrid cotton plants on an economically advantageous basis. a cotton planting area is selected which is suitable for habitation by ground-dwelling wild bees. the population of ground-dwelling wild bees is encouraged through the non-use of an insecticide of at least one growing season. during an immediately following growing season a portion of the planting area is planted with a block of early-blossoming plants which provide a source of pollen and nectar for the ground-dwelling wild bees during the spring and early summer. another nearby section of the planting area during the immediately following growing season is planted with a substantially random population of cytoplasmically male sterile cotton plants and male fertile cotton plants which are capable of restoring male fertility to the progeny of the cytoplasmically male sterile plants. no insecticide is applied to the cotton plants at least unit after seed set has occurred. pollination of the cotton plants is accomplished during mid- to late-summer through pollen transfer by the ground-dwelling bees and cottonseeds are formed. the resulting cottonseeds next are harvested in bulk and include a substantial concentration of seeds capable of forming f1 hybrid cotton plants.,process for the economical production of seeds capable of growing f1 hybrid cotton an improved overall process is provided which makes possible the reliable production of seeds capable of growing f1 hybrid cotton plants on an economically advantageous basis. a cotton planting area is selected which is suitable for habitation by ground-dwelling wild bees. the population of ground-dwelling wild bees is encouraged through the non-use of an insecticide of at least one growing season. during an immediately following growing season a portion of the planting area is planted with a block of early-blossoming plants which provide a source of pollen and nectar for the ground-dwelling wild bees during the spring and early summer. another nearby section of the planting area during the immediately following growing season is planted with a substantially random population of cytoplasmically male sterile cotton plants and male fertile cotton plants which are capable of restoring male fertility to the progeny of the cytoplasmically male sterile plants. no insecticide is applied to the cotton plants at least unit after seed set has occurred. pollination of the cotton plants is accomplished during mid- to late-summer through pollen transfer by the ground-dwelling bees and cottonseeds are formed. the resulting cottonseeds next are harvested in bulk and include a substantial concentration of seeds capable of forming f1 hybrid cotton plants.,
21,6051752,"

                    Genetic factor responsible for a defective endosperm phenotype in seeds, plants comprising said factor and their use in hybridization processes                
","
            The invention relates to a genetic male gametophytic factor capable, when expressed, of conferring a defective endosperm phenotype to seeds, said seeds being unable to germinate on their own. The invention also relates to the use of plants or part of plants comprising said factor for carrying out processes for obtaining hybrid seeds and plants.        ","genetic factor responsible for a defective endosperm phenotype in seeds, plants comprising said factor and their use in hybridization processes","the invention relates to a genetic male gametophytic factor capable, when expressed, of conferring a defective endosperm phenotype to seeds, said seeds being unable to germinate on their own. the invention also relates to the use of plants or part of plants comprising said factor for carrying out processes for obtaining hybrid seeds and plants.","genetic factor responsible for a defective endosperm phenotype in seeds, plants comprising said factor and their use in hybridization processes the invention relates to a genetic male gametophytic factor capable, when expressed, of conferring a defective endosperm phenotype to seeds, said seeds being unable to germinate on their own. the invention also relates to the use of plants or part of plants comprising said factor for carrying out processes for obtaining hybrid seeds and plants.",
22,PP15576,"

                    Bermudagrass hybrid named ‘Ozark’                
","
            The variety “Ozark” is a new and distinct hybrid bermudagrass variety. The plant was derived from an F1 hybrid cross of bermudagrass varieties A9959×“Coastal.” “Ozark” has relatively tall, upright growth and exhibits superior cold tolerance relative to previous bermudgrass varieties, yielding well in the northern part of the bermudagrass belt.        ",bermudagrass hybrid named ‘ozark’,"the variety “ozark” is a new and distinct hybrid bermudagrass variety. the plant was derived from an f1 hybrid cross of bermudagrass varieties a9959×“coastal.” “ozark” has relatively tall, upright growth and exhibits superior cold tolerance relative to previous bermudgrass varieties, yielding well in the northern part of the bermudagrass belt.","bermudagrass hybrid named ‘ozark’ the variety “ozark” is a new and distinct hybrid bermudagrass variety. the plant was derived from an f1 hybrid cross of bermudagrass varieties a9959×“coastal.” “ozark” has relatively tall, upright growth and exhibits superior cold tolerance relative to previous bermudgrass varieties, yielding well in the northern part of the bermudagrass belt.",
